Z	Name	A	Configuration
100	Fm	257*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(12)7s(2)
101	Md	258*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(13)7s(2)
102	No	259*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)7s(2)
103	Lr	266*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(1)7s(2)
104	Rf	267*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(2)7s(2)
105	Db	268*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(3)7s(2)
106	Sg	269*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(4)7s(2)
107	Bh	270*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(5)7s(2)
108	Hs	270*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(6)7s(2)
109	Mt	278*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(7)7s(2)
110	Ds	281*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(9)7s(1)
111	Rg	282*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(1)
112	Cn	285*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)
113	Nh	286*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(1)
114	Fl	289*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(2)
115	Ms	290*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(3)
116	Lv	293*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(4)
117	Ts	294*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(5)
118	Og	294*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)5f(14)6d(10)7s(2)7p(6)
